trade_date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2019-03-08,600690.SH,20190308,594.03,594.03,567.65,568.01,16.7,-0.98,-5.8683,795338.06,1273001.7
2019-03-07,600690.SH,20190307,626.18,626.91,598.36,603.42,17.26,-0.56,-3.2445,668398.16,1119389.877
2019-03-06,600690.SH,20190306,630.88,632.33,615.34,623.66,17.53,-0.27,-1.5402,518499.98,892006.865
2019-03-05,600690.SH,20190305,629.8,644.61,629.44,633.41,17.43,0.1,0.5737,383990.32,676418.278
2019-03-04,600690.SH,20190304,623.29,644.97,623.29,629.8,17.17,0.26,1.5143,591211.95,1041279.98
2019-03-01,600690.SH,20190301,603.42,620.76,598.36,620.4,16.48,0.69,4.1869,580712.57,982053.358
2019-02-28,600690.SH,20190228,601.98,612.45,595.47,595.47,16.66,-0.18,-1.0804,387335.78,646710.187
2019-02-27,600690.SH,20190227,596.56,611.37,595.83,601.98,16.45,0.21,1.2766,367866.23,614755.326
2019-02-26,600690.SH,20190226,602.7,616.43,593.3,594.39,16.7,-0.25,-1.497,595414.59,998579.76
2019-02-25,600690.SH,20190225,596.19,603.42,583.55,603.42,15.96,0.74,4.6366,732777.21,1197777.884
2019-02-22,600690.SH,20190222,577.41,579.21,570.18,576.68,15.98,-0.02,-0.1252,285718.8,453904.287
2019-02-21,600690.SH,20190221,581.74,588.61,574.51,577.41,16.0,-0.02,-0.125,345746.11,556843.543
2019-02-20,600690.SH,20190220,583.55,583.91,572.71,578.13,16.06,-0.06,-0.3736,259949.28,416200.291
2019-02-19,600690.SH,20190219,588.25,600.89,578.49,580.3,16.14,-0.08,-0.4957,357441.71,581671.485
2019-02-18,600690.SH,20190218,574.51,584.27,574.51,583.19,15.78,0.36,2.2814,431017.79,692702.028
2019-02-15,600690.SH,20190215,593.67,595.83,568.37,570.18,16.51,-0.73,-4.4216,588672.36,939385.737
2019-02-14,600690.SH,20190214,583.91,599.45,581.74,596.56,16.15,0.36,2.2291,367239.98,603381.056
2019-02-13,600690.SH,20190213,584.27,590.77,579.93,583.55,16.17,-0.02,-0.1237,381100.74,616167.724
2019-02-12,600690.SH,20190212,590.05,594.75,582.83,584.27,16.36,-0.19,-1.1614,310840.36,504013.062
2019-02-11,600690.SH,20190211,584.99,595.47,581.74,591.14,16.19,0.17,1.05,375078.78,612851.979
2019-02-01,600690.SH,20190201,587.16,588.97,576.68,584.99,16.0,0.19,1.1875,251668.17,405885.758
2019-01-31,600690.SH,20190131,567.29,581.02,567.29,578.13,15.55,0.45,2.8939,341196.19,544309.456
2019-01-30,600690.SH,20190130,561.15,567.29,555.73,561.87,15.57,-0.02,-0.1285,214746.75,334070.922
2019-01-29,600690.SH,20190129,560.42,570.54,556.45,562.59,15.57,0.0,0.0,290691.31,452961.455
2019-01-28,600690.SH,20190128,560.06,578.13,560.06,562.59,15.46,0.11,0.7115,299693.83,472270.516
2019-01-25,600690.SH,20190125,552.83,563.67,547.05,558.62,15.31,0.15,0.9798,260997.37,403468.619
2019-01-24,600690.SH,20190124,540.91,556.45,539.1,553.2,14.88,0.43,2.8898,302944.6,460914.132
2019-01-23,600690.SH,20190123,538.74,544.89,535.85,537.66,14.97,-0.09,-0.6012,178296.24,266292.542
2019-01-22,600690.SH,20190122,547.78,548.5,535.85,540.91,15.18,-0.21,-1.3834,228313.7,341850.402
2019-01-21,600690.SH,20190121,544.89,567.65,544.16,548.5,15.14,0.04,0.2642,420837.61,645293.52
2019-01-18,600690.SH,20190118,528.26,547.41,527.18,547.05,14.62,0.52,3.5568,343865.66,513477.537
2019-01-17,600690.SH,20190117,527.9,535.85,521.04,528.26,14.63,-0.01,-0.0684,237519.22,347605.644
2019-01-16,600690.SH,20190116,529.71,532.6,523.93,528.63,14.66,-0.03,-0.2046,297486.75,434738.884
2019-01-15,600690.SH,20190115,502.61,533.32,502.61,529.71,13.95,0.71,5.0896,509152.5,732160.004
2019-01-14,600690.SH,20190114,510.92,510.92,501.89,504.06,14.07,-0.12,-0.8529,161568.72,226038.802
2019-01-11,600690.SH,20190111,506.22,512.0,501.53,508.39,13.96,0.11,0.788,197118.06,276527.896
2019-01-10,600690.SH,20190110,506.95,508.75,499.0,504.42,14.0,-0.04,-0.2857,293242.02,409263.282
2019-01-09,600690.SH,20190109,504.42,513.09,493.58,505.86,13.26,0.74,5.5807,772361.12,1080363.173
2019-01-08,600690.SH,20190108,484.54,487.8,477.68,479.12,13.42,-0.16,-1.1923,199765.39,266054.672
2019-01-07,600690.SH,20190107,494.3,496.11,483.1,484.9,13.59,-0.17,-1.2509,273226.8,368326.87
2019-01-04,600690.SH,20190104,479.85,494.3,475.15,491.05,13.45,0.14,1.0409,186196.67,250519.63
2019-01-03,600690.SH,20190103,488.52,497.55,480.57,485.99,13.53,-0.08,-0.5913,159070.23,214153.651
2019-01-02,600690.SH,20190102,503.69,503.69,487.8,488.88,13.85,-0.32,-2.3105,184180.06,250526.902
